warehouse_id,postcode,prefix,note
1,2576,0,Client import NSW
1,2577,0,Client import NSW
1,2578,0,Client import NSW
1,2579,0,Client import NSW
1,2580,0,Client import NSW
1,2581,0,Client import NSW
1,2582,0,Client import NSW
1,2583,0,Client import NSW
1,2584,0,Client import NSW
1,2585,0,Client import NSW
1,2586,0,Client import NSW
1,2587,0,Client import NSW
1,2588,0,Client import NSW
1,2590,0,Client import NSW
1,2594,0,Client import NSW
1,2619,0,Client import NSW
1,2621,0,Client import NSW
1,2622,0,Client import NSW
1,2623,0,Client import NSW
1,2624,0,Client import NSW
1,2625,0,Client import NSW
1,2626,0,Client import NSW
1,2627,0,Client import NSW
1,2628,0,Client import NSW
1,2629,0,Client import NSW
1,2630,0,Client import NSW
1,2631,0,Client import NSW
1,2632,0,Client import NSW
1,2633,0,Client import NSW
1,2640,0,Client import NSW
1,2641,0,Client import NSW
1,2642,0,Client import NSW
1,2643,0,Client import NSW
1,2644,0,Client import NSW
1,2645,0,Client import NSW
1,2646,0,Client import NSW
1,2647,0,Client import NSW
1,2648,0,Client import NSW
1,2649,0,Client import NSW
1,2650,0,Client import NSW
1,2651,0,Client import NSW
1,2652,0,Client import NSW
1,2653,0,Client import NSW
1,2655,0,Client import NSW
1,2656,0,Client import NSW
1,2658,0,Client import NSW
1,2659,0,Client import NSW
1,2660,0,Client import NSW
1,2663,0,Client import NSW
1,2665,0,Client import NSW
1,2666,0,Client import NSW
1,2668,0,Client import NSW
1,2669,0,Client import NSW
1,2671,0,Client import NSW
1,2672,0,Client import NSW
1,2675,0,Client import NSW
1,2678,0,Client import NSW
1,2680,0,Client import NSW
1,2681,0,Client import NSW
1,2700,0,Client import NSW
1,2701,0,Client import NSW
1,2702,0,Client import NSW
1,2703,0,Client import NSW
1,2705,0,Client import NSW
1,2706,0,Client import NSW
1,2707,0,Client import NSW
1,2710,0,Client import NSW
1,2711,0,Client import NSW
1,2712,0,Client import NSW
1,2713,0,Client import NSW
1,2714,0,Client import NSW
1,2715,0,Client import NSW
1,2716,0,Client import NSW
1,2717,0,Client import NSW
1,2720,0,Client import NSW
1,2721,0,Client import NSW
1,2722,0,Client import NSW
1,2725,0,Client import NSW
1,2726,0,Client import NSW
1,2727,0,Client import NSW
1,2729,0,Client import NSW
1,2730,0,Client import NSW
1,2731,0,Client import NSW
1,2732,0,Client import NSW
1,2733,0,Client import NSW
1,2734,0,Client import NSW
1,2735,0,Client import NSW
1,2736,0,Client import NSW
1,2737,0,Client import NSW
1,2738,0,Client import NSW
1,2739,0,Client import NSW
1,2745,0,Client import NSW
1,2747,0,Client import NSW
1,2748,0,Client import NSW
1,2749,0,Client import NSW
1,2750,0,Client import NSW
1,2752,0,Client import NSW
1,2753,0,Client import NSW
1,2754,0,Client import NSW
1,2756,0,Client import NSW
1,2757,0,Client import NSW
1,2758,0,Client import NSW
1,2759,0,Client import NSW
